extract,score,source,date,product,label,reasoning
"It looks good,it was cheap but the batteries don't last long.",6.0,Amazon,9/11/2014,BLU Win Jr LTE - GSM Unlocked Windows Smartphone - Pink,Real,"The review expresses negative sentiment about battery life but acknowledges positive aspects (looks good, cheap). The score of 6.0 is neutral/moderate while the text is predominantly negative, creating a mismatch. However, the language is natural with specific pros and cons, lacking generic or promotional elements typical of fake reviews."
 Awesome !!!,8.0,RueDuCommerce,8/12/2014,APPLE iPhone 6+ 16 Go or,Fake,"The review text 'Awesome !!!' expresses positive sentiment with excessive punctuation, but the score of 8.0 is relatively low for such enthusiastic language. The review lacks any specific details about the product, uses generic promotional language, and shows a mismatch between the overly enthusiastic text and the moderate numerical score, which are common indicators of fake reviews."
Great phone. This phone is user friendly and easy to navigate. My only complaint is the battery life. Make sure you have a charger with you.,9.6,Samsung,3/4/2016,Samsung Galaxy S6 32GB (AT&T),Real,"The review expresses overall satisfaction with the phone's user-friendliness while mentioning a specific drawback (battery life), which is natural and balanced. The positive sentiment aligns with the high score of 9.6, and the language is conversational with genuine pros/cons rather than generic or promotional phrasing."
Wie schaute den aus mit Garantie auf das Produkt meine 2 Lautsprecher sind kaputt was tun? Kann Mann das zurÃ¼ck schicken,6.0,Amazon,4/29/2017,Cubot NOTE S 3G Smartphone ohne Vertrag 5.5 Zoll Android 5.1 Quad Core 1.3GHz 2GB RAM+16GB ROM Dual SIM Dual Kamera Handy IPS HD Screen 4150mAh HotKnot OTG GPS WIFI Gold,Real,"The review expresses frustration about broken speakers and asks about warranty/return options, which is clearly negative sentiment. However, the score of 6.0 is neutral/positive, creating a mismatch. The review appears genuine due to natural language with specific complaint about speakers, grammatical errors typical of non-native speakers ('Wie schaute den aus', 'Kann Mann das'), and authentic customer service inquiry rather than promotional content."
Schnelle Lieferung.Das Handy ist gut.Ich habe nicht viel Ahnung von Handy.Mit dem Handy komme ich klar.Bin sehr zufrieden mit dem Handy,10.0,Amazon,8/4/2014,"Samsung Galaxy Trend Plus Smartphone (10,1 cm (4 Zoll) TFT-Display, 1,2GHz Prozessor, 786MB RAM, 5 Megapixel Kamera, 4GB interne Speicher, Android 4.2.2) schwarz",Fake,"The review expresses positive sentiment with phrases like 'gut' (good) and 'sehr zufrieden' (very satisfied), which matches the 10.0 score. However, it lacks specific details about the product features mentioned in the title, uses generic language ('komme ich klar' - I can manage), contains repetitive phrasing ('Handy' repeated 4 times), and admits limited knowledge ('Ich habe nicht viel Ahnung von Handy'), making it appear artificially positive rather than authentic."
"I bought MOTO E mobile on 7th June'14 and after 1 month, the mobile has fallen down from 2 feet height and the LCD got Broken. It is a very sensitive Piece. On 26th Jun'14",2.0,CNET,7/18/2014,Lenovo Motorola Moto E (black),Real,"The review expresses clear negative sentiment about the phone's durability after accidental damage, which matches the low 2.0 score. It contains specific details (purchase date: 7th June'14, damage date: 26th Jun'14, height: 2 feet, component: LCD) and natural language describing a personal experience, lacking generic or promotional language typical of fake reviews."
"realmente solo tiene un giga de memoria, por lo dem??s funciona.....",8.0,Phone House,9/9/2012,HTC Desire C,Real,"The review expresses disappointment about limited memory (1GB) with neutral language about functionality, indicating negative sentiment. An 8.0 score contradicts this negative sentiment, creating a mismatch. However, the review uses natural language with specific criticism (memory limitation) and appears genuine despite the score inconsistency."
"Robuust en elegant design . Even wennen na mijn Galaxy S5 , die ook al heel goed is/was en nu naar mijn man gaat.",9.0,KIESKEURIG,11/3/2016,Samsung Galaxy S7 zwart / 32 GB,Real,"The review expresses positive sentiment about the phone's robust and elegant design, and mentions a personal transition from a previous model (Galaxy S5) that was also good. The score of 9.0 aligns with this positive sentiment. The language is natural, includes specific details about personal usage and device history, and lacks generic or promotional phrasing typical of fake reviews."
"Ich gehÃ¶re zu den WebOS Nutzern der ersten Stunde mit meinem ""uralt"" Pre. Wer das Pre kennt weiÃ was ich meine wen ich sage es wahr das beste Smartphone das es gibt und das mit den meisten Fehlern.",10.0,Amazon,2/13/2011,Hewlett-Packard HP Palm Pre 2,Real,"The review expresses genuine enthusiasm from a long-time WebOS user, acknowledging both strengths ('best smartphone') and flaws ('most errors'), which matches the high score. The language is specific, personal, and natural, not generic or promotional."
atende o prometido.,10.0,Bondfaro,1/12/2016,Smartphone Samsung Galaxy Gran Prime TV SM-G530,Fake,"The review has positive sentiment ('atende o prometido' means 'meets what was promised') which matches the 10.0 score, but it's extremely brief, generic, and lacks any specific details about the product or usage experience, which are common characteristics of fake reviews."
